DATE,MPRIME
06/1/1,7.26
06/2/1,7.5
06/3/1,7.53
06/4/1,7.75
06/5/1,7.93
06/6/1,8.02
06/7/1,8.25
06/8/1,8.25
06/9/1,8.25
06/10/1,8.25
06/11/1,8.25
06/12/1,8.25
07/1/1,8.25
07/2/1,8.25
07/3/1,8.25
07/4/1,8.25
07/5/1,8.25
07/6/1,8.25
07/7/1,8.25
07/8/1,8.25
07/9/1,8.03
07/10/1,7.74
07/11/1,7.5
07/12/1,7.33
08/1/1,6.98
08/2/1,6
08/3/1,5.66
08/4/1,5.24
08/5/1,5
08/6/1,5
08/7/1,5
08/8/1,5
08/9/1,5
08/10/1,4.56
08/11/1,4
08/12/1,3.61
09/1/1,3.25
09/2/1,3.25
09/3/1,3.25
09/4/1,3.25
09/5/1,3.25
09/6/1,3.25
09/7/1,3.25
09/8/1,3.25
09/9/1,3.25
09/10/1,3.25
09/11/1,3.25
09/12/1,3.25
10/1/1,3.25
10/2/1,3.25
10/3/1,3.25
10/4/1,3.25
10/5/1,3.25
10/6/1,3.25
10/7/1,3.25
10/8/1,3.25
10/9/1,3.25
10/10/1,3.25
10/11/1,3.25
10/12/1,3.25
11/1/1,3.25
11/2/1,3.25
11/3/1,3.25
11/4/1,3.25
11/5/1,3.25
11/6/1,3.25
11/7/1,3.25
11/8/1,3.25
11/9/1,3.25
11/10/1,3.25
11/11/1,3.25
11/12/1,3.25
12/1/1,3.25
12/2/1,3.25
12/3/1,3.25
12/4/1,3.25
12/5/1,3.25
12/6/1,3.25
12/7/1,3.25
12/8/1,3.25
12/9/1,3.25
12/10/1,3.25
12/11/1,3.25
12/12/1,3.25
13/1/1,3.25
13/2/1,3.25
13/3/1,3.25
13/4/1,3.25
13/5/1,3.25
13/6/1,3.25
13/7/1,3.25
13/8/1,3.25
13/9/1,3.25
13/10/1,3.25
13/11/1,3.25
13/12/1,3.25
14/1/1,3.25
14/2/1,3.25
14/3/1,3.25
14/4/1,3.25
14/5/1,3.25
14/6/1,3.25
14/7/1,3.25
14/8/1,3.25
14/9/1,3.25
14/10/1,3.25
14/11/1,3.25
14/12/1,3.25
15/1/1,3.25
15/2/1,3.25
15/3/1,3.25
15/4/1,3.25
15/5/1,3.25
15/6/1,3.25
15/7/1,3.25
15/8/1,3.25
15/9/1,3.25
15/10/1,3.25
15/11/1,3.25
15/12/1,3.37
16/1/1,3.5
16/2/1,3.5
16/3/1,3.5
16/4/1,3.5
16/5/1,3.5
16/6/1,3.5
16/7/1,3.5
16/8/1,3.5
16/9/1,3.5
16/10/1,3.5
16/11/1,3.5
16/12/1,3.64
17/1/1,3.75
17/2/1,3.75
17/3/1,3.88
17/4/1,4
17/5/1,4
17/6/1,4.13
17/7/1,4.25
17/8/1,4.25
17/9/1,4.25
17/10/1,4.25
17/11/1,4.25
17/12/1,4.4
18/1/1,4.5
18/2/1,4.5
18/3/1,4.58
18/4/1,4.75
18/5/1,4.75
18/6/1,4.89
18/7/1,5